ds,product_id,customer_state,n_orders,qty,cancel_qty,revenue,avg_price,avg_freight,n_sellers,pay_total_avg,inst_avg,inst_max,share_credit_card,share_boleto,share_voucher,share_debit_card,dow,month,week_of_year,qty_lag_1,qty_lag_7,qty_lag_14,qty_lag_28,qty_roll_mean_7,qty_roll_mean_28,cancel_lag_1,cancel_lag_7,cancel_lag_14
2016-10-04,f9bcf9d8e89d012d7dc24fe4de0abd80,SP,1,1,0,177.2,164.0,13.2,1,177.2,1.0,1.0,0.0,1.0,0.0,0.0,2,10,40,,,,,1.0,1.0,,,
2016-10-04,fd440fd792fd8a4b681f1eb258c25445,PR,1,1,0,95.81,79.9,15.91,1,383.24,3.0,3.0,1.0,0.0,0.0,0.0,2,10,40,,,,,1.0,1.0,,,
2016-10-05,0534940d69bf94dc61c0e722b4168235,SP,1,1,0,38.36,22.9,15.46,1,38.36,1.0,1.0,1.0,0.0,0.0,0.0,3,10,40,,,,,1.0,1.0,,,
2016-10-05,0fc6914383c2bea767a9562c9d8b43a1,PR,1,1,0,58.41,43.89,14.52,1,58.41,1.0,1.0,1.0,0.0,0.0,0.0,3,10,40,,,,,1.0,1.0,,,
2016-10-05,1178e5819b87e4a8846d636e39df026b,SP,1,1,0,60.95,49.99,10.96,1,60.95,6.0,6.0,1.0,0.0,0.0,0.0,3,10,40,,,,,1.0,1.0,,,
2016-10-05,17c7ec33a1657924ad493e6978b4bf91,MG,1,1,0,108.12,99.0,9.12,1,192.19,7.0,7.0,1.0,0.0,0.0,0.0,3,10,40,,,,,1.0,1.0,,,
2016-10-05,1dc6a19ea34c75792743abebd47309d3,DF,1,1,0,123.2,101.9,21.3,1,123.2,5.0,5.0,1.0,0.0,0.0,0.0,3,10,40,,,,,1.0,1.0,,,
2016-10-05,2636a9812d151c718b53387171ce08be,MG,1,1,0,45.489999999999995,30.97,14.52,1,45.49,4.0,4.0,1.0,0.0,0.0,0.0,3,10,40,,,,,1.0,1.0,,,
2016-10-05,2636a9812d151c718b53387171ce08be,PR,1,1,0,45.489999999999995,30.97,14.52,1,45.49,1.0,1.0,1.0,0.0,0.0,0.0,3,10,40,,,,,1.0,1.0,,,
2016-10-05,33e0cfd1cd80a0491da068d7a7f93ff8,MG,1,1,0,184.87,169.9,14.97,1,184.87,5.0,5.0,1.0,0.0,0.0,0.0,3,10,40,,,,,1.0,1.0,,,
2016-10-05,382d28bfa85a9857cd10bfdb1b8b7f80,RS,1,1,0,266.11,248.0,18.11,1,266.11,3.0,3.0,1.0,0.0,0.0,0.0,3,10,40,,,,,1.0,1.0,,,
2016-10-05,407e01944d78001dbd21da4c2059b8dc,SP,1,1,0,40.86,29.9,10.96,1,40.86,4.0,4.0,1.0,0.0,0.0,0.0,3,10,40,,,,,1.0,1.0,,,
2016-10-05,4632bc49b300378ed4f1d48f424d414e,SP,1,1,0,315.23999999999995,294.9,20.34,1,315.24,10.0,10.0,1.0,0.0,0.0,0.0,3,10,40,,,,,1.0,1.0,,,
2016-10-05,473795a355d29305c3ea6b156833adf5,RJ,1,1,0,71.2,59.9,11.3,1,71.2,1.0,1.0,1.0,0.0,0.0,0.0,3,10,40,,,,,1.0,1.0,,,
2016-10-05,4a92216ec92c54fca6f132ae1988390d,SP,1,1,1,140.98999999999998,128.7,12.29,1,140.99,3.0,3.0,1.0,0.0,0.0,0.0,3,10,40,,,,,1.0,1.0,,,
2016-10-05,4e0946aebc8e1d7521219ec1e7380aed,RS,1,1,0,152.12,128.9,23.22,1,152.12,1.0,1.0,1.0,0.0,0.0,0.0,3,10,40,,,,,1.0,1.0,,,
2016-10-05,57d9a5d185e8254383504f57c4b8ddcc,SP,1,1,0,28.21,14.9,13.31,1,162.39,3.0,3.0,1.0,0.0,0.0,0.0,3,10,40,,,,,1.0,1.0,,,
2016-10-05,5b8423dc7f23089c9c59c5d140eb5a1c,RS,1,1,0,154.10000000000002,129.99,24.11,1,154.1,1.0,1.0,0.0,1.0,0.0,0.0,3,10,40,,,,,1.0,1.0,,,
2016-10-05,5c75915e4a74994308fe805cdbfbf5f5,RJ,1,1,0,24.52,10.0,14.52,1,24.52,1.0,1.0,0.0,1.0,0.0,0.0,3,10,40,,,,,1.0,1.0,,,
2016-10-05,5cd07c84a1c25575ac2fc3fa73f1d952,PA,1,1,0,663.93,629.9,34.03,1,663.93,1.0,1.0,0.0,1.0,0.0,0.0,3,10,40,,,,,1.0,1.0,,,
2016-10-05,660422061e06da17ca6101e9d6b7aae8,PE,1,1,0,818.12,649.0,169.12,1,818.12,10.0,10.0,1.0,0.0,0.0,0.0,3,10,40,,,,,1.0,1.0,,,
2016-10-05,72bf8fd8b4596a7fa2c2cfab031204ed,MG,1,1,0,34.42,19.9,14.52,1,34.42,1.0,1.0,0.0,1.0,0.0,0.0,3,10,40,,,,,1.0,1.0,,,
2016-10-05,79938780eb7ffb7289f59a9a283bc06b,RJ,1,1,0,75.9,59.9,16.0,1,75.9,2.0,2.0,1.0,0.0,0.0,0.0,3,10,40,,,,,1.0,1.0,,,
2016-10-05,7ed8c74b7ad2f1790a24a24c071da537,MG,1,1,0,134.79999999999998,119.99,14.81,1,134.8,6.0,6.0,1.0,0.0,0.0,0.0,3,10,40,,,,,1.0,1.0,,,
2016-10-05,8f1e43e0e3374ed8c84df748034d6179,PR,1,1,0,71.21,59.9,11.31,1,71.21000000000001,1.0,1.0,0.3333333333333333,0.0,0.6666666666666666,0.0,3,10,40,,,,,1.0,1.0,,,
2016-10-05,966a067b38634929844120e39b1576bc,MG,1,1,0,84.07,59.99,24.08,1,192.19,7.0,7.0,1.0,0.0,0.0,0.0,3,10,40,,,,,1.0,1.0,,,
2016-10-05,9805b37a2e4983fb5dbb5c8168590c44,RS,1,1,0,113.17,89.9,23.27,1,113.17,1.0,1.0,0.0,1.0,0.0,0.0,3,10,40,,,,,1.0,1.0,,,
2016-10-05,98cd3776d33bddd0ebf8ad8b4732d1b4,SP,1,1,0,26.36,22.37,3.99,1,162.39,3.0,3.0,1.0,0.0,0.0,0.0,3,10,40,,,,,1.0,1.0,,,
2016-10-05,a5c3ddb1a400f50d1cf7138727aec136,MG,1,1,0,149.91,128.9,21.01,1,149.91,2.0,2.0,1.0,0.0,0.0,0.0,3,10,40,,,,,1.0,1.0,,,
2016-10-05,a8255c87078b4bd9bc05fe7290ca5c25,MT,1,1,0,401.19,279.99,121.2,1,401.19,10.0,10.0,1.0,0.0,0.0,0.0,3,10,40,,,,,1.0,1.0,,,
2016-10-05,ace91f88d635b9e5563e36cc0a0a8f09,SP,1,1,0,19.16,14.9,4.26,1,162.39,3.0,3.0,1.0,0.0,0.0,0.0,3,10,40,,,,,1.0,1.0,,,
2016-10-05,ad5396bf96af6ede77130e54ad266c61,SP,1,1,0,62.3,22.37,39.93,1,162.39,3.0,3.0,1.0,0.0,0.0,0.0,3,10,40,,,,,1.0,1.0,,,
2016-10-05,af667947a84d9ff9d326b60ab75d1ae2,MG,1,2,0,108.84,39.9,14.52,1,108.84,10.0,10.0,1.0,0.0,0.0,0.0,3,10,40,,,,,2.0,2.0,,,
2016-10-05,b3b0bce74668bf355cbd94db1e4d17b9,MG,1,1,0,42.769999999999996,24.99,17.78,1,42.77,1.0,1.0,0.0,1.0,0.0,0.0,3,10,40,,,,,1.0,1.0,,,
2016-10-05,b73f6899a58fe7a37e55149e9a11c717,SP,1,1,0,115.22,86.99,28.23,1,115.22,1.0,1.0,0.0,1.0,0.0,0.0,3,10,40,1.0,,,,1.0,1.0,0.0,,
2016-10-05,b76d57984db550fe9e6f3ad3467e3025,GO,1,1,0,98.55000000000001,79.9,18.65,1,98.55000000000001,1.0,1.0,0.0,0.0,1.0,0.0,3,10,40,,,,,1.0,1.0,,,
2016-10-05,bab7ff9abbcc13690a62d015f2ca8e44,PE,1,1,0,95.58,75.0,20.58,1,95.58,1.0,1.0,0.0,1.0,0.0,0.0,3,10,40,,,,,1.0,1.0,,,
2016-10-05,bf128b5dced56e2ec0391179eb70443d,RJ,1,1,0,342.69,329.99,12.7,1,342.69,10.0,10.0,1.0,0.0,0.0,0.0,3,10,40,,,,,1.0,1.0,,,
2016-10-05,c006d1427332464b79808bd9dfaec943,SP,1,1,0,26.36,22.37,3.99,1,162.39,3.0,3.0,1.0,0.0,0.0,0.0,3,10,40,,,,,1.0,1.0,,,
2016-10-05,ca17b18b38db6e0d2c33d362322f2a06,SP,1,1,0,299.84000000000003,267.0,32.84,1,299.84,1.0,1.0,1.0,0.0,0.0,0.0,3,10,40,,,,,1.0,1.0,,,
2016-10-05,cfd43c5e600d45ac029357406b05dd82,SC,1,4,0,676.9200000000001,149.9,19.33,1,676.92,5.0,5.0,1.0,0.0,0.0,0.0,3,10,40,,,,,4.0,4.0,,,
2016-10-05,d9894482fba41f536a273ba2276d951f,MA,1,6,0,625.2,77.9,26.3,1,625.2,1.0,1.0,0.0,1.0,0.0,0.0,3,10,40,,,,,6.0,6.0,,,
2016-10-05,eba7488e1c67729f045ab43fac426f2e,GO,1,1,0,270.75,249.9,20.85,1,270.75,10.0,10.0,1.0,0.0,0.0,0.0,3,10,40,,,,,1.0,1.0,,,
2016-10-05,eba7488e1c67729f045ab43fac426f2e,PE,1,1,0,273.77,249.9,23.87,1,273.77,10.0,10.0,1.0,0.0,0.0,0.0,3,10,40,,,,,1.0,1.0,,,
2016-10-05,ecac086eca2f806295b1f43b4f6ca119,MG,1,1,0,69.63,54.9,14.73,1,69.63,3.0,3.0,1.0,0.0,0.0,0.0,3,10,40,,,,,1.0,1.0,,,
2016-10-05,f07ef9dd6e2d9a366ff30a25e210be70,SP,1,1,0,161.65,149.99,11.66,1,161.65,1.0,1.0,0.0,1.0,0.0,0.0,3,10,40,,,,,1.0,1.0,,,
2016-10-05,f6fe388c9bfc145a2790437f1e4888d9,SP,1,1,0,35.86,24.9,10.96,1,35.86,3.0,3.0,1.0,0.0,0.0,0.0,3,10,40,,,,,1.0,1.0,,,
2016-10-05,faa268ecc8a8434cb4ebee091b3222d6,SP,1,1,0,1227.78,1199.0,28.78,1,1227.78,10.0,10.0,1.0,0.0,0.0,0.0,3,10,40,,,,,1.0,1.0,,,
2016-10-05,fb01a5fc09b9b9563c2ee41a22f07d54,CE,1,1,0,661.75,629.9,31.85,1,661.75,5.0,5.0,1.0,0.0,0.0,0.0,3,10,40,,,,,1.0,1.0,,,
2016-10-06,027cdd14a677a5834bc67a9789db5021,MG,1,1,0,105.39,89.9,15.49,1,105.39,3.0,3.0,1.0,0.0,0.0,0.0,4,10,40,,,,,1.0,1.0,,,
2016-10-06,09b590ada623ecf66329917ea4731957,DF,1,1,0,671.31,649.17,22.14,1,671.31,4.0,4.0,1.0,0.0,0.0,0.0,4,10,40,,,,,1.0,1.0,,,
2016-10-06,0b230f10ac2cfc4c831b825bf31a5de2,RJ,1,1,0,127.86000000000001,109.9,17.96,1,127.86,2.0,2.0,1.0,0.0,0.0,0.0,4,10,40,,,,,1.0,1.0,,,
2016-10-06,0bfd2b8146cd034448f6e4c8ac8e47f0,MG,1,1,0,54.72,38.0,16.72,1,218.87,1.0,1.0,0.0,1.0,0.0,0.0,4,10,40,,,,,1.0,1.0,,,
2016-10-06,0ee7a6e1cd4ecf72e711a2f68b4d8d2e,MG,1,1,0,54.72,38.0,16.72,1,218.87,1.0,1.0,0.0,1.0,0.0,0.0,4,10,40,,,,,1.0,1.0,,,
2016-10-06,10dd77710da08ea43018cb3b4cedff92,GO,1,1,0,65.7,44.9,20.8,1,65.7,2.0,2.0,1.0,0.0,0.0,0.0,4,10,40,,,,,1.0,1.0,,,
2016-10-06,12715d8bb61f9c2c26219377d9737584,SP,1,1,0,119.78999999999999,107.99,11.8,1,119.79,3.0,3.0,1.0,0.0,0.0,0.0,4,10,40,,,,,1.0,1.0,,,
2016-10-06,152153cc85a6e47325494a479a93fc4b,SP,1,1,0,38.62,29.9,8.72,1,38.62,1.0,1.0,1.0,0.0,0.0,0.0,4,10,40,,,,,1.0,1.0,,,
2016-10-06,1949890685a12526806e9463ba1a3964,SP,1,1,0,34.62,25.9,8.72,1,34.62,3.0,3.0,1.0,0.0,0.0,0.0,4,10,40,,,,,1.0,1.0,,,
2016-10-06,1c1baeabe25824c8c22b511643852906,SP,1,1,0,51.93,40.9,11.03,1,51.93,4.0,4.0,1.0,0.0,0.0,0.0,4,10,40,,,,,1.0,1.0,,,
2016-10-06,21fb5057dd6a737df6851a7ab7a130da,GO,1,1,0,74.15,49.0,25.15,1,74.15,1.0,1.0,1.0,0.0,0.0,0.0,4,10,40,,,,,1.0,1.0,,,
